NDC,Proprietary Name,Non-Proprietary Name,Dosage Form,Route Name,Company Name,Product Type
61874-075,Viberzi,Eluxadoline,"Tablet, Film Coated",Oral,"Allergan, Inc.",Human Prescription Drug
61874-100,Viberzi,Eluxadoline,"Tablet, Film Coated",Oral,"Allergan, Inc.",Human Prescription Drug
43353-010,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
51655-808,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Northwind Pharmaceuticals,Human Prescription Drug
53002-0101,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,"Rpk Pharmaceuticals, Inc.",Human Prescription Drug
61919-023,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Direct Rx,Human Prescription Drug
61919-484,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Direct_rx,Human Prescription Drug
61919-905,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Direct_rx,Human Prescription Drug
63187-470,Acetaminophen And Codeine,Acetaminophen And Codeine Phosphate,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
63187-491,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Proficient Rx Lp,Human Prescription Drug
65162-033,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Amneal Pharmaceuticals Llc,Human Prescription Drug
67296-1772,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,"Redpharm Drug, Inc.",Human Prescription Drug
67544-474,Acetaminophen And Codeine,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
67544-882,Acetaminophen And Codeine,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aphena Pharma Solutions - Tennessee, Llc",Human Prescription Drug
71335-0545,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,Bryant Ranch Prepack,Human Prescription Drug
76420-103,Acetaminophen And Codeine,Acetaminophen And Codeine,Tablet,Oral,"Asclemed Usa, Inc.",Human Prescription Drug
0093-0150,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Teva Pharmaceuticals Usa, Inc.",Human Prescription Drug
0406-0483,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0484,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Specgx Llc,Human Prescription Drug
0406-0485,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Specgx Llc,Human Prescription Drug
0615-8102,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Ncs Healthcare Of Ky, Llc Dba Vangard Labs",Human Prescription Drug
13107-058,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-059,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
13107-060,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,"Aurolife Pharma, Llc",Human Prescription Drug
17856-0079,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,Atlantic Biologicals Copr.,Human Prescription Drug
45865-439,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Medsource Pharmaceuticals,Human Prescription Drug
45865-466,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Medsource Pharmaceuticals,Human Prescription Drug
49999-026,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Quality Care Products Llc,Human Prescription Drug
49999-060,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,Lake Erie Medical Dba Quality Care Products Llc,Human Prescription Drug
50090-0215,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Solution,Oral,A-s Medication Solutions,Human Prescription Drug
50090-1933,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-1934,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-1935,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
50090-3011,Acetaminophen And Codeine Phosphate,Acetaminophen And Codeine Phosphate,Tablet,Oral,A-s Medication Solutions,Human Prescription Drug
