9-Digit NDC,Strength per Unit,MME conversion factor
000021009,15,0.15
000021010,30,0.15
000021011,60,0.15
000022546,30,0.15
000022576,0.4,1
000022606,10,1
000040044,2,11
000053131,60,0.15
000053169,2,0.15
000053170,2,0.15
000053369,,0.15
000053471,2.5,0
000080234,25,0.1
000080258,50,0.1
000080387,1,4
000080550,2,0.15
000080602,50,0.1
000140061,2.5,0
000140066,0.5,0
000155645,1,7
000180548,2,1
000236002,5,1
000236010,30,0.15
000236021,7.5,1
000236022,10,1
000240324,25,0.1
000240329,50,0.1
000240335,50,0.1
000240337,100,0.1
000240372,50,0.1
000240726,1,4
000240860,0.5,1
000241921,50,0.37
000250061,2.5,0
000250066,0.5,0
000318680,2,0.15
000348000,16,0.25
000374814,2,0.15
000440725,10,1
000440727,5,1
000441012,2,4
000441017,10,4
000441022,2,4
000441028,8,4
000441085,1,4
000450513,30,0.15
000450515,60,0.15
000450659,50,0.1
000460250,15,0.15
000460254,60,0.15
000470637,60,0.15
000540243,15,0.15
000540244,30,0.15
000540245,60,0.15
000540264,4,4
000540265,8,4
000540283,5,3
000540284,10,3
000540386,1,4
000540390,1,1.5
000540393,20,1.5
000540438,2,11
000540522,20,1.5
000540523,1,1.5
000540551,5,1.5
000542795,5,1.5
000543090,10,7
000543194,0.5,0
000543387,1,4
000543545,10,0.1
000543682,1,1.5
000543683,20,1.5
000543686,1,1.5
000544023,60,0.15
000544156,30,0.15
000544157,60,0.15
000544370,8,4
000544392,2,4
000544595,50,0.1
000544596,100,0.1
000544650,5,1.5
000544653,4.88,1.5
000544657,5,1.5
000544784,5,1.5
000548155,15,0.15
000548156,30,0.15
000548171,0.5,0
000548191,0.5,0
000548595,50,0.1
000548648,1,1.5
000548650,5,1.5
000548657,5,1.5
000548690,4,1
000560127,5,1.5
000560234,1,1
000560235,1,1
000600135,4.88,1.5
000620653,100,0.1
000620655,200,0.1
000741255,50,0.1
000741256,100,0.1
000741276,50,0
000741312,2,4
000741627,2,7
000741949,5,1
000741973,7.5,1
000742172,10,4
000742274,10,1
000742277,7.5,1
000742415,2,4
000742444,200,0.13
000742451,3,4
000742453,10,4
000742460,200,0.13
000743041,5,1
000743043,7.5,1
000743054,10,1
000743380,50,0
000743382,50,0
000744498,1,0
000744504,2,0
000744507,5,0
000749093,50,0
000749094,50,0
000749096,50,0
000780107,30,0.15
000780243,30,0.15
000930031,20,1.5
000930032,40,1.5
000930050,15,0.15
000930058,50,0.1
000930150,30,0.15
000930350,60,0.15
000930552,2,0.15
000935161,7.5,1
000935371,400,0.13
000935731,10,1.5
000935732,20,1.5
000935733,40,1.5
000935734,80,1.5
000935861,5,3
000935862,10,3
000936900,25,7.2
000936903,100,7.2
000937865,200,0.13
000937866,400,0.13
000937867,600,0.13
000937868,800,0.13
000937869,1200,0.13
